nodes,degrees_nodes,degree_centrality,pagerank_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality
0,347,0.08593363051015354,0.006289602618466542,3.313349648171279e-05,0.35334266713335666,0.14630592147442917
1,17,0.004210004952947003,0.00023590202311540972,5.970600698108219e-07,0.2613761408505405,2.7832744209034606e-06
2,10,0.0024764735017335313,0.00020310565091694567,2.165774698618132e-07,0.26125776397515527,7.595021178512074e-08
3,17,0.004210004952947003,0.00022552359869430614,6.559843277249058e-07,0.2613761408505405,1.6850656559280464e-06
4,10,0.0024764735017335313,0.00023849264701222462,2.1690663459533223e-07,0.26125776397515527,1.8403320547933104e-07
5,13,0.0032194155522535907,0.00020234812068977809,1.1760076670264478e-06,0.2613084837895554,2.205964164092193e-06
6,6,0.0014858841010401188,0.00018001867135639642,2.1057324828004044e-07,0.26119016817593793,2.4537760730577472e-08
7,20,0.004952947003467063,0.00026267667111515796,2.567204981440664e-05,0.2747686445291236,0.0001702984836730339
8,8,0.001981178801386825,0.00023737300152657922,2.131188415832667e-07,0.2612239617026782,2.7604980821899654e-07
9,57,0.014115898959881128,0.0006001572433028075,2.2031992276305345e-06,0.2620546433902265,1.6454236303026905e-05
10,10,0.0024764735017335313,0.00013504865958890368,7.637201488949346e-07,0.26125776397515527,4.986739552037655e-08
11,1,0.00024764735017335313,5.2591423276218314e-05,2.0405673474663477e-07,0.26110572259941806,0.0
12,1,0.00024764735017335313,5.2591423276218314e-05,2.0405673475296536e-07,0.26110572259941806,0.0
13,31,0.007677067855373947,0.0003306419576230765,1.0949312268205776e-06,0.26161321671525756,1.7622717578436846e-06
14,15,0.003714710252600297,0.00028864398034146046,2.2350467478279839e-07,0.2613423079412336,5.582871686568508e-07
15,1,0.00024764735017335313,5.2591423276218314e-05,2.0405673474836039e-07,0.26110572259941806,0.0
16,9,0.002228826151560178,0.00013324305769198052,2.5483769368126174e-07,0.2612408617454875,1.9979459275532697e-07
17,13,0.0032194155522535907,0.00026000987429524483,2.207996296482695e-07,0.2613084837895554,4.1066669000480344e-07
18,1,0.00024764735017335313,5.2591423276218314e-05,2.0405673475041132e-07,0.26110572259941806,0.0
19,16,0.00396235760277365,0.00038064314056362173,2.2441266051715342e-07,0.2613592233009709,5.062957964075819e-06
20,15,0.003714710252600297,0.00029297537600066995,2.2334505867942066e-07,0.2613423079412336,6.793693332142838e-07
21,65,0.016097077761267953,0.0006928319433106635,2.594924113956755e-05,0.2756125861715924,0.0009380243844653233
