nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,154.13,45.65493511111367,100
2,312.52,61.87333512911682,100
4,578.22,85.41411827092756,100
5,572.49,89.15778092797062,100
7,712.0,87.40869521964048,100
8,716.95,89.76562538076587,100
10,730.1,84.9596963271409,100
11,742.63,97.92217879520452,100
13,768.38,80.70127384372566,100
14,802.91,88.28353130680716,100
16,821.58,89.70754483319672,100
17,856.2,84.2356219185209,100
19,865.81,81.0024314449881,100
20,918.08,91.66413475291195,100
22,909.03,81.78367257588766,100
23,906.77,92.37400662524063,100
25,943.79,78.7554817139734,100
26,958.39,78.72698330305818,100
28,973.52,84.27294702334788,100
30,986.59,70.7017814485604,100
