nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,156.03,42.555482608002464,100
2,302.61,60.457571072612566,100
4,565.63,82.4849871188691,100
5,688.18,88.13187618563445,100
7,690.76,86.6880753045077,100
8,724.38,95.95006826469692,100
10,745.31,90.88318821432267,100
11,739.41,84.9043102557226,100
13,782.92,85.80275986237272,100
14,843.03,81.28092703703618,100
16,839.23,79.73529394189251,100
17,836.88,87.44693019197415,100
19,862.36,86.64046629606746,100
20,879.73,86.00579689765102,100
22,886.43,85.2976265789383,100
23,896.98,73.02232261438965,100
25,909.54,78.42517707981283,100
26,904.1,77.50464502208884,100
28,910.71,95.43189142000698,100
30,941.83,81.03604815142455,100
