nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,152.75,50.31488348391557,100
2,311.74,62.64113983637271,100
4,567.64,78.14160479539693,100
5,656.56,77.05132315541375,100
7,709.0,74.70261039615684,100
8,713.51,87.78114774824945,100
10,750.03,89.15766428075604,100
11,737.02,86.59353093620794,100
13,778.05,89.86037780913232,100
14,829.52,80.39906467117636,100
16,840.74,80.97254102472023,100
17,851.16,93.00889419835073,100
19,866.91,89.88082053475036,100
20,869.9,94.14409168928235,100
22,886.09,90.65815958864376,100
23,892.57,91.46160451249474,100
25,906.42,82.54079960843607,100
26,893.86,89.60837237669256,100
28,903.96,73.83114789843106,100
30,930.03,89.64423628990322,100
