nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,83.68,33.11370713163961,100
2,95.16,30.487938598731137,100
4,111.88,40.36416232253556,100
5,125.77,44.970402488748086,100
7,125.38,33.64603394161041,100
8,132.86,35.06166567634801,100
10,143.4,33.23582404574919,100
11,144.49,42.29101441204739,100
13,153.81,38.59784838562896,100
14,156.22,32.54430211265868,100
16,162.37,30.71796054428093,100
17,170.43,47.13390605498339,100
19,167.92,31.023436302253813,100
20,176.17,32.94421193472383,100
22,186.47,35.90611507807549,100
23,174.29,31.65795160777147,100
25,186.53,33.826159994891526,100
26,189.79,36.251150326575846,100
28,195.68,35.80303897715947,100
30,193.84,32.721772568123505,100
