nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,128.76,25.92223755774181,100
2,306.38,51.09026913219385,100
4,579.85,70.34051108713953,100
5,664.75,76.29028444041876,100
7,772.79,89.50075921465694,100
8,793.4,96.45351211853304,100
10,846.0,86.53877743532087,100
11,853.23,90.15096838082218,100
13,859.68,72.27902600339881,100
14,915.14,93.48016046199322,100
16,901.4,88.79425657101928,100
17,933.08,87.96597978764291,100
19,931.35,81.39328903539898,100
20,958.17,75.49119882476369,100
22,952.13,77.23764043521786,100
23,960.81,78.38235707096337,100
25,980.98,81.42235319615861,100
26,967.87,78.53300643678428,100
28,1005.24,81.74009053090165,100
30,1008.4,82.24427031714731,100
