nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,2.86,15.036635261919464,100
2,9.25,18.915800273845143,100
4,14.19,20.18053269861824,100
5,12.11,12.810070257418577,100
7,34.31,29.026434503741584,100
8,42.82,35.804575126651066,100
10,33.69,30.447231401229242,100
11,60.73,38.07935267306944,100
13,80.46,56.48617884049159,100
14,76.9,54.689212830319654,100
16,81.8,51.50359210773555,100
17,126.47,84.93096667293973,100
19,94.62,55.508157958988335,100
20,181.89,63.26434936044154,100
22,110.89,63.12256252719783,100
23,143.24,75.21450923857711,100
25,110.87,55.081513232662736,100
26,201.21,89.6302733455611,100
28,179.86,87.23657719099255,100
30,166.4,65.33651352804188,100
