nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,224.85,87.46500728862944,20
2,591.5,197.32422557810787,20
4,967.45,223.8364302342226,20
5,1047.5,225.08120756740223,20
7,1252.15,228.07439027650605,20
8,1253.65,311.11979605933146,20
10,1230.05,209.61380560449734,20
11,1316.9,271.8885617307209,20
13,1338.3,266.79600821601514,20
14,1347.0,303.44175717919904,20
16,1498.7,216.69197031731474,20
17,1481.2,298.6167443396301,20
19,1551.85,265.85960110554595,20
20,1484.8,198.61032198755433,20
22,1596.05,303.65580432456744,20
23,1606.2,276.03833067166596,20
25,1640.7,315.7693937036964,20
26,1570.45,196.79341325359445,20
28,1707.6,265.33495811897836,20
30,1863.7,245.65526658307166,20
