nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,277.15,218.37886230127677,20
2,560.9,178.76126537927618,20
4,1002.95,273.6955379614363,20
5,1019.05,210.40686181776488,20
7,1324.3,291.7154606804377,20
8,1376.8,279.35991122564457,20
10,1338.05,251.8560054872625,20
11,1397.8,251.51214682396554,20
13,1463.1,281.19137611242627,20
14,1580.85,244.127686877175,20
16,1539.25,256.5981050202826,20
17,1747.45,286.37553579172925,20
19,1560.25,202.79962401345816,20
20,1657.6,201.8668868338738,20
22,1583.0,176.93219040072952,20
23,1593.0,259.6218403755739,20
25,1688.55,177.39714625664078,20
26,1602.65,224.84889926348316,20
28,1705.65,223.91589380836726,20
30,1731.55,302.6559887066502,20
