nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,302.95,147.25538190504278,20
2,499.8,163.07562662764784,20
4,919.05,226.63439169728852,20
5,1158.9,287.7045185602757,20
7,1196.4,305.8444702786042,20
8,1325.55,306.95838072937505,20
10,1349.45,299.3330043613634,20
11,1390.4,261.5663204619433,20
13,1380.1,224.4423979554665,20
14,1603.1,307.0820574374217,20
16,1549.2,187.42854638501575,20
17,1530.5,267.07910813090564,20
19,1661.2,252.8817114779161,20
20,1571.85,280.97300137201796,20
22,1727.2,275.10299889314183,20
23,1704.7,301.42844922136993,20
25,1676.15,236.52553244840186,20
26,1748.0,243.57031838875605,20
28,1634.25,269.0705994715885,20
30,1772.0,226.64244968672574,20
