nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,264.85,190.8950693443914,20
2,503.4,194.42849585387427,20
4,889.6,126.43393531801499,20
5,1092.1,205.31266400297864,20
7,1320.9,156.5592220215724,20
8,1266.65,262.14791149272963,20
10,1358.85,240.57000540383254,20
11,1396.35,303.3292394412382,20
13,1625.6,241.88455924262715,20
14,1573.0,213.4239911537595,20
16,1540.95,205.47687826127788,20
17,1616.95,352.60693058985674,20
19,1627.75,265.67195467342805,20
20,1713.05,273.2443000320409,20
22,1548.85,197.35685318731652,20
23,1661.0,221.85986568101947,20
25,1720.85,205.85341265084725,20
26,1722.75,239.68226363250162,20
28,1734.8,206.61306831853594,20
30,1669.1,239.05666692230105,20
