nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,1.45,1.5321553446044562,20
2,14.95,44.80566370449164,20
4,28.1,59.81128656031402,20
5,73.3,129.38821430099418,20
7,102.9,145.44961326865055,20
8,20.5,9.35681569766125,20
10,183.0,219.38140304045828,20
11,87.75,85.56978146518782,20
13,132.15,137.39223959161595,20
14,132.0,125.48824646157105,20
16,154.75,192.10879079313366,20
17,272.45,256.9888081220659,20
19,153.6,135.78674456661815,20
20,258.2,243.7581998620764,20
22,332.2,207.10398354449873,20
23,310.75,184.40929342091195,20
25,313.2,249.8170530608349,20
26,224.15,141.32171630715501,20
28,327.35,171.25602909094908,20
30,339.4,226.56200034427664,20
