nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,38.38,39.9398998496491,100
2,149.47,69.56140524745025,100
4,280.86,115.92273461232702,100
5,341.05,97.95104644668173,100
7,426.93,116.32895211425227,100
8,505.18,105.89233966628558,100
10,702.75,132.07440138043404,100
11,749.31,102.47201520415221,100
13,833.44,118.27056438522646,100
14,913.21,116.86225181811277,100
16,971.7,113.26574945675326,100
17,1056.39,136.55415738819525,100
19,1112.15,155.05653001405648,100
20,1123.62,123.99844999031237,100
22,1138.09,119.44782082566428,100
23,1237.78,121.49910123124367,100
25,1285.63,117.07413505979875,100
26,1277.52,129.79949768777996,100
28,1337.93,123.76520149056438,100
30,1380.83,124.49546618250803,100
