nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,99.53,55.61015284999673,100
2,227.3,95.59388055728253,100
4,412.83,104.84016930547183,100
5,520.92,124.33910728326788,100
7,612.95,113.63031065697214,100
8,694.46,127.36572694410377,100
10,809.27,134.43309525559545,100
11,900.8,125.09276557819,100
13,976.78,118.09255522682199,100
14,1012.45,140.1285392059733,100
16,1062.97,132.5595304004959,100
17,1109.91,133.52491115892946,100
19,1119.24,109.2146620193461,100
20,1164.78,107.91631757987297,100
22,1197.84,120.81454548190794,100
23,1186.37,120.02013622721815,100
25,1259.69,110.60159989801232,100
26,1291.75,122.02830614246844,100
28,1315.91,121.96237903550423,100
30,1360.86,115.65751337461825,100
