nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,105.03,67.89071438716786,100
2,199.71,95.0602224907979,100
4,434.42,113.50226253251519,100
5,500.48,107.09626324013365,100
7,634.66,128.24166405657718,100
8,713.31,144.83947631774979,100
10,810.63,113.39459025897136,100
11,916.51,129.94718119297548,100
13,958.81,127.52511086056738,100
14,998.26,112.34176605341399,100
16,1052.5,113.77657931226445,100
17,1075.46,124.39488896252932,100
19,1132.15,121.83467281525402,100
20,1169.83,109.11663988594958,100
22,1202.56,113.60927074847369,100
23,1223.28,120.69888814732306,100
25,1224.12,114.07868161931044,100
26,1258.91,119.16006839541508,100
28,1351.16,116.27258662298694,100
30,1345.7,125.2627239045998,100
