nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,103.71,59.3869169093665,100
2,138.81,68.87360815290572,100
4,205.08,76.47544442499174,100
5,222.32,71.3674827915347,100
7,248.19,85.02125557764953,100
8,280.27,79.00010822777396,100
10,305.15,84.94614470357085,100
11,327.7,73.45862781185068,100
13,350.31,79.45032347322444,100
14,348.09,93.59359967433672,100
16,359.25,76.16119418706616,100
17,361.23,66.18245311258869,100
19,376.72,65.2575022506991,100
20,377.29,74.44397826553872,100
22,401.99,73.29154043953504,100
23,426.4,83.37817460223029,100
25,443.31,82.17173419126556,100
26,430.1,72.42810228081363,100
28,421.62,71.94578236422201,100
30,453.35,69.55017972658301,100
