nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,149.94,111.01709958380285,100
2,132.99,128.11178673330568,100
3,183.01,127.82077256846792,100
4,349.59,148.98208583584804,100
5,334.96,153.64334804995627,100
6,455.59,163.18689254961623,100
7,472.24,187.98367588703013,100
8,558.18,243.95119921820432,100
9,519.41,197.63481955364037,100
10,523.91,186.16079581909827,100
11,653.51,172.6370467194107,100
12,645.23,221.8907774108694,100
13,649.18,210.4441198988463,100
14,685.41,192.8382272787219,100
15,695.85,199.21934519518933,100
16,665.65,170.6067627616209,100
17,705.27,214.36622191940594,100
