nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,91.14,31.07829467651017,100
2,209.02,50.05156940596369,100
4,437.06,114.43153586315267,100
5,506.52,101.89312832571194,100
7,674.74,111.55694689260729,100
8,747.15,124.65290810887646,100
10,907.21,128.06750524625676,100
11,893.71,127.72480534336312,100
13,986.7,126.53367140804855,100
14,1011.01,124.14044425568969,100
16,1088.08,139.77894548178563,100
17,1112.73,132.96630061786334,100
19,1138.6,120.06689801939584,100
20,1200.71,128.12449375509743,100
22,1228.48,115.26122331469503,100
23,1253.03,122.19365409054595,100
25,1308.37,114.80223473434651,100
26,1341.59,120.5652599217536,100
28,1399.19,140.99515559053793,100
30,1475.56,111.72773335210913,100
