nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,1.0,0.0,100
2,16.07,40.47524057989031,100
4,14.7,13.401865541781863,100
5,25.82,26.98421019781754,100
7,53.52,55.04443296101795,100
8,38.69,41.803754616062896,100
10,33.86,37.6820965446457,100
11,27.29,26.55006403005462,100
13,85.33,59.66540957707406,100
14,91.14,51.92494968702425,100
16,112.81,74.84526638338593,100
17,79.8,55.37923798681235,100
19,101.29,67.89569868555739,100
20,108.3,75.08641688081805,100
22,173.3,86.69527092062172,100
23,91.84,60.094212699726754,100
25,90.45,51.04299658131368,100
26,204.2,79.76289864341692,100
28,162.85,76.93586614837062,100
30,166.12,68.46258540253939,100
