nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,43.15,35.65708204550675,20
2,185.6,99.72081026546063,20
4,330.0,171.43395229650397,20
5,359.05,118.45061207102309,20
7,548.4,127.98218626043236,20
8,605.65,226.58757137142365,20
10,921.7,248.04195209681768,20
11,1016.2,208.32465048572624,20
13,1055.55,173.07757653722794,20
14,1227.85,280.89041902492863,20
16,1334.7,184.83833476852143,20
17,1252.5,197.22132237666392,20
19,1342.8,150.36342640416254,20
20,1469.2,198.51161175105096,20
22,1598.85,221.13531490922023,20
23,1584.4,160.73562144092392,20
25,1757.35,258.00858028367975,20
26,1756.7,300.8858753747008,20
28,1806.85,191.4095804812288,20
30,1989.3,340.4864314477157,20
