nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,126.25,89.05216168066893,20
2,296.7,146.53671894784597,20
4,554.4,240.19229796144586,20
5,643.65,214.8872436884051,20
7,785.85,193.11143803514074,20
8,938.65,182.30997641379915,20
10,1028.15,192.82304711833592,20
11,1226.75,261.86349020052415,20
13,1321.85,233.12470375316298,20
14,1383.9,262.90852021187897,20
16,1403.25,140.92404869290408,20
17,1491.65,188.71069789495243,20
19,1610.1,256.59947388878254,20
20,1460.4,202.88282332420357,20
22,1645.55,178.31334077965116,20
23,1569.2,217.17380136655527,20
25,1765.4,254.40624992322813,20
26,1834.4,242.43378477431727,20
28,1889.65,172.34827385268468,20
30,1928.0,176.64710583533488,20
