nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,211.9,152.25206074139032,20
2,322.35,131.2883372581129,20
4,565.6,153.11152797879066,20
5,619.95,178.86600431608016,20
7,875.35,171.55590196784254,20
8,910.5,185.76154069128518,20
10,1095.3,256.40204757372743,20
11,1248.1,224.1088797883743,20
13,1330.25,187.1191799362107,20
14,1324.6,226.72525223274096,20
16,1456.65,194.21490030376142,20
17,1538.0,278.94694836115343,20
19,1566.65,256.1550848607148,20
20,1564.4,224.73304162939638,20
22,1618.8,214.8242537517587,20
23,1659.9,218.09215941890253,20
25,1831.35,248.76399960605232,20
26,1849.35,215.1495468273173,20
28,1963.25,203.23456275938892,20
30,1926.65,236.19870342573856,20
