nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,125.05,70.06744964675109,20
2,234.15,140.94796025484015,20
4,312.7,136.37672088740072,20
5,334.2,131.37983102440037,20
7,377.35,185.18997678060225,20
8,439.05,171.50290813860855,20
10,426.65,98.24575054423474,20
11,523.0,152.47393219826134,20
13,537.6,135.40731147172224,20
14,514.2,101.67084144433939,20
16,496.7,108.72032928574122,20
17,609.7,146.11505740340385,20
19,543.7,99.5309499603013,20
20,593.7,91.82107601199193,20
22,657.85,178.39962864311124,20
23,642.75,144.02842601375605,20
25,639.7,127.03349951882771,20
26,647.7,149.5399946502607,20
28,628.3,101.97014268892634,20
30,689.35,91.14344463536585,20
