nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,144.35,110.31875407200717,20
2,132.75,115.98270345185095,20
3,247.55,144.42557772084555,20
4,202.85,105.16523902887303,20
5,198.0,103.842669457213,20
6,183.85,91.08253125599882,20
7,290.1,102.28924674666445,20
8,328.0,167.03562494270497,20
9,369.05,176.76777845523773,20
10,399.8,176.99225971776283,20
11,433.0,206.22875648172834,20
12,433.8,176.96768066514292,20
13,496.3,160.54722046799813,20
14,416.4,133.2705518860037,20
15,504.7,227.7531778043942,20
16,386.75,121.11972382729412,20
17,387.85,153.06445537746507,20
18,378.7,133.80325108157874,20
19,475.1,221.56599468329972,20
20,551.45,170.27932199771055,20
21,476.15,199.30812201212473,20
