nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,1.0,0.0,20
2,24.25,45.55751858914179,20
4,5.8,1.6,20
5,17.5,6.85200700525036,20
7,22.85,14.079328819229985,20
8,24.6,15.47384890710776,20
10,47.0,46.96700969829781,20
11,118.55,75.39660138229044,20
13,77.9,70.96752778560065,20
14,114.1,129.4182753709846,20
16,83.4,64.5835892468048,20
17,116.3,108.88025532666609,20
19,82.4,48.77540363748926,20
20,118.75,56.355900312212206,20
22,78.85,53.42684250449394,20
23,139.65,101.728695558333,20
25,85.6,37.848910156040155,20
26,101.75,47.65278061141868,20
28,174.35,90.14891846273034,20
30,140.4,133.96544330535394,20
